序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1511,600312,平高电气,21.09,0.81%,1.39%,2.19亿,1.79亿,4058.80万,3.98亿
1512,300748,金力永磁,34.99,0.81%,2.59%,5.40亿,4.83亿,5746.80万,10.23亿
1513,300717,华信新材,21.27,0.81%,2.14%,2544.84万,2112.66万,432.18万,4657.50万
1514,300668,杰恩设计,24.96,0.81%,3.04%,3979.70万,3615.45万,364.25万,7595.14万
1515,000720,新能泰山,3.72,0.81%,1.81%,4314.38万,4027.61万,286.76万,8429.97万
1516,688343,云天励飞,78.9,0.80%,3.54%,3.95亿,3.40亿,5527.48万,7.36亿
1517,301288,*ST清研,18.99,0.80%,0.41%,350.93万,256.68万,94.24万,607.61万
1518,688377,迪威尔,40.21,0.80%,0.52%,2400.13万,1687.37万,712.76万,4087.51万
1519,300141,和顺电气,15.21,0.80%,4.43%,8738.90万,8464.81万,274.09万,1.73亿
1520,600512,腾达建设,2.52,0.80%,2.02%,4321.35万,3782.88万,538.47万,8104.22万
1521,002999,天禾股份,7.53,0.80%,3.12%,4214.24万,3793.22万,421.03万,8105.50万
1522,603767,中马传动,21.5,0.80%,1.17%,4794.76万,2999.55万,1795.21万,7794.32万
1523,603350,安乃达,37.85,0.80%,1.91%,1931.78万,1248.76万,683.02万,3180.54万
1524,600422,昆药集团,12.53,0.80%,2.56%,1.46亿,1.01亿,4558.63万,2.47亿
1525,600210,紫江企业,7.56,0.80%,1.51%,9215.73万,8196.15万,1019.58万,1.74亿
1526,001379,腾达科技,24.23,0.79%,5.39%,4548.08万,4142.59万,405.49万,8778.04万
1527,300804,广康生化,37.22,0.79%,5.38%,2983.05万,2570.73万,412.32万,5553.78万
1528,002965,祥鑫科技,34.43,0.79%,2.59%,9296.48万,8285.31万,1011.17万,1.78亿
1529,688551,科威尔,38.21,0.79%,0.93%,1471.91万,1516.80万,-44.89万,2988.71万
1530,300862,蓝盾光电,23.1,0.79%,2.77%,5514.94万,4165.26万,1349.68万,9680.21万
1531,300716,ST泉为,12.76,0.79%,3.06%,3588.30万,2760.12万,828.18万,6348.41万
1532,603639,海利尔,14.04,0.79%,0.70%,2073.50万,1263.05万,810.45万,3336.55万
1533,603305,旭升集团,17.92,0.79%,3.29%,3.51亿,3.31亿,2008.49万,6.83亿
1534,603228,景旺电子,61.48,0.79%,2.38%,7.28亿,7.03亿,2579.93万,14.31亿
1535,002746,仙坛股份,6.41,0.79%,2.52%,6399.26万,5127.24万,1272.02万,1.15亿
1536,301075,多瑞医药,61.69,0.78%,0.67%,1839.72万,1492.38万,347.34万,3332.10万
1537,603216,梦天家居,44.0,0.78%,1.45%,7908.66万,6134.38万,1774.28万,1.40亿
1538,605296,神农集团,28.47,0.78%,0.39%,3419.68万,2289.53万,1130.15万,5709.22万
1539,600726,华电能源,2.57,0.78%,0.49%,5664.75万,3842.38万,1822.37万,9507.12万
1540,603326,我乐家居,10.28,0.78%,1.62%,2902.93万,2431.58万,471.35万,5334.51万
1541,603713,密尔克卫,64.48,0.78%,1.27%,7358.57万,5636.89万,1721.68万,1.30亿
1542,603617,君禾股份,7.75,0.78%,1.75%,2806.79万,2398.97万,407.82万,5205.76万
1543,603329,上海雅仕,11.7,0.78%,1.14%,1780.72万,959.89万,820.83万,2740.62万
1544,600252,中恒集团,2.58,0.78%,1.90%,7858.77万,7933.77万,-75.00万,1.58亿
1545,300222,科大智能,11.62,0.78%,1.99%,7747.74万,6890.42万,857.32万,1.46亿
1546,002106,莱宝高科,11.66,0.78%,1.48%,6440.38万,5669.35万,771.03万,1.21亿
1547,002010,传化智联,6.5,0.78%,1.05%,1.03亿,8530.86万,1754.31万,1.88亿
1548,688788,科思科技,70.29,0.77%,2.54%,1.51亿,1.31亿,2038.32万,2.82亿
1549,002687,乔治白,5.21,0.77%,2.86%,3095.14万,3024.93万,70.21万,6178.26万
1550,301298,东利机械,17.11,0.77%,2.30%,2416.87万,1845.91万,570.96万,4262.78万
